,0
762,новыми
763,игрушки
764,А
765,сейчас
766,они
767,старушки
768,Так
769,давайте
770,поскорей
771,Взяли
772,кисточки
773,и
774,клей
775,Нитки
776,катушки
777,И
778,вылечим
779,игрушки
780,По
781,городу
782,бродили
783,Дремота
784,и
785,Зевота
786,Дремота
787,забегала
788,в
789,калитки
790,и
791,ворота
792,Заглядывала
793,в
794,окна
795,И
796,щёлочки
797,дверей
798,И
799,детям
800,говорила
801,Ложитесь
802,поскорей
803,Зевота
804,говорила
805,кто
806,спать
807,скорее
808,ляжет
809,Тому
810,она
811,Зевота
812,спокойной
813,ночи
814,скажет
815,А
816,если
817,кто
818,не
819,ляжет
820,Сейчас
821,же
822,на
823,кровать
824,Тому
825,она
826,прикажет
827,Зевать
828,зевать
829,зевать
830,Полно
831,плакать
832,Тише
833,Тише
834,А
835,не
836,то
837,Полкан
838,услышит
839,Скажет
840,Гав
841,Кто
842,плачет
843,тут
844,Машей
845,тут
846,Кого
847,зовут
848,Убирайся
849,скажем
850,Прочь
851,Уж
852,не
853,плачет
854,Наша
855,дочь
856,Хлюпхлюп
857,ручками
858,Полон
859,мыла
860,таз
861,Ты
862,не
863,трогай
864,Машенька
865,Мыльной
866,ручкой
867,глаз
868,А
869,водичка
870,булькает
871,А
872,водичка
873,пенится
874,Машенька
875,помоется
876,Причешется
877,оденется
878,Мама
879,чашку
880,молока
881,Маше
882,налила
883,Мяу
884,киска
885,говорит
886,Вот
887,и
888,я
889,пришла
890,Киске
891,в
892,миску
893,Отольём
894,Веселее
895,пить
896,вдвоём
897,Нука
898,Кто
899,скорей
900,допьёт
901,Кто
902,ни
903,капли
904,Не
905,прольёт
906,Жучка
907,тявкнула
908,во
909,сне
910,Хвостиком
911,вильнула
912,Котик
913,серенький
914,коток
915,Спит
916,у
917,ножки
918,стула
919,В
920,мягком
921,кресле
922,у
923,окна
924,Бабушка
925,уснула
926,Мишка
927,тоже
928,стал
929,зевать
930,Не
931,пора
932,ли
933,Маше
934,спать
935,Я
936,рубашку
937,сшила
938,Мишке
939,Я
940,сошью
941,ему
942,штанишки
943,Надо
944,к
945,ним
946,карман
947,пришить
948,И
949,конфетку
950,положить
951,На
952,плите
953,сварилась
954,каша
955,Где
956,большая
957,ложка
958,наша
959,Я
960,тебе
961,перед
962,едой
963,Лапы
964,вымою
965,водой
966,Повяжу
967,тебе
968,салфетку
969,Ешь
970,котлетку
971,Ешь
972,конфетку
973,Молоко
974,своё
975,допей
976,И
977,пойдём
978,гулять
979,скорей
980,Это
981,куры
982,Это
983,утки
984,Чёрный
985,Шарик
986,возле
987,будки
988,Мы
989,его
990,не
991,позовём
992,Убежим
993,гулять
994,вдвоём
995,Пьёт
996,козлёнок
997,из
998,корыта
999,На
1000,тебя
1001,глядит
1002,сердито
1003,Ты
1004,не
1005,бойся
1006,это
1007,гусь
1008,Я
1009,сама
1010,его
1011,боюсь
1012,Мы
1013,по
1014,узенькой
1015,дощечке
1016,Побежим
1017,купаться
1018,к
1019,речке
1020,Будем
1021,плавать
1022,загорать
1023,Наши
1024,трусики
1025,стирать
1026,Мишка
1027,топал
1028,баловался
1029,Лёгкий
1030,мостик
1031,зашатался
1032,По
1033,воде
1034,идут
1035,круги
1036,Шарик
1037,Шарик
1038,помоги
1039,Мишка
1040,мокрый
1041,будто
1042,губка
1043,Сохнет
1044,плюшевая
1045,шубка
1046,Шарик
1047,убежал
1048,вперёд
1049,Нам
1050,от
1051,мамы
1052,попадёт
1053,На
1054,лошадке
1055,ехали
1056,До
1057,угла
1058,доехали
1059,Сели
1060,на
1061,машину
1062,Налили
1063,бензину
1064,На
1065,машине
1066,ехали
1067,До
1068,реки
1069,доехали
1070,Трр
1071,Стоп
1072,Разворот
1073,На
1074,реке
1075,пароход
1076,Пароходом
1077,ехали
1078,До
1079,горы
1080,доехали
1081,Пароход
1082,не
1083,везёт
1084,Надо
1085,сесть
1086,на
1087,самолёт
1088,Самолёт
1089,летит
1090,В
1091,нём
1092,мотор
1093,гудит
1094,Ууу
1095,Нука
1096,нука
1097,нука
1098,нули
1099,Не
1100,ворчите
1101,вы
1102,кастрюли
1103,Не
1104,ворчите
1105,не
1106,шипите
1107,Кашу
1108,сладкую
1109,варите
1110,Кашу
1111,сладкую
1112,варите
1113,Наших
1114,деток
1115,накормите
1116,Глубоко
1117,не
1118,мелко
1119,Корабли
1120,в
1121,тарелках
1122,Луку
1123,головка
1124,Красная
1125,морковка
1126,Петрушка
1127,Картошка
1128,И
1129,крупки
1130,немножко
1131,Вот
1132,кораблик
1133,плывёт
1134,Заплывает
1135,прямо
1136,в
1137,рот
1138,Баиньки
1139,баиньки
1140,Прибежали
1141,заиньки
1142,Сели
1143,на
1144,скамейку
1145,Попросили
1146,лейку
1147,Поливали
1148,огород
1149,Где
1150,капуста
1151,растёт
1152,Это
1153,ФИЛИН
1154,Днём
1155,он
1156,спит
1157,У
1158,него
1159,усталый
1160,вид
1161,Ночью
1162,Спать
1163,не
1164,хочется
1165,Ночью
1166,Он
1167,охотится
1168,Нет
1169,у
1170,НОСОРОЖИКА
1171,Никакого
1172,рожика
1173,Будет
1174,рожик
1175,у
1176,меня
1177,Мне
1178,всего
1179,ещё
1180,три
1181,дня
1182,Умывается
1183,ТИГРИЦА
1184,И
1185,тигрята
1186,моют
1187,лица
1188,Моет
1189,уши
1190,папа
1191,А
1192,мочалка
1193,лапа
1194,ЕНОТ
1195,Он
1196,моет
1197,пищу
1198,Чтоб
1199,пища
1200,Стала
1201,чище
1202,Вымоет
1203,как
1204,следует
1205,А
1206,потом
1207,обедает
1208,С
1209,собой
1210,иголки
1211,носит
1212,Ни
1213,у
1214,кого
1215,не
1216,спросит
1217,Зачем
1218,они
1219,все
1220,сразу
1221,нужны
1222,ДИКОБРАЗУ
1223,Кто
1224,упал
1225,Таня
1226,Кто
1227,не
1228,плачет
1229,Таня
1230,Что
1231,за
1232,умница
1233,у
1234,нас
1235,Маленькая
1236,Таня
1237,Что
1238,за
1239,умница
1240,у
1241,нас
1242,Маленькая
1243,Таня
1244,Кто
1245,упал
1246,Витя
1247,Кто
1248,заплакал
1249,Витя
1250,Кто
1251,поможет
1252,Вите
1253,встать
1254,Оленька
1255,и
1256,Митя
1257,Кто
1258,поможет
1259,Вите
1260,встать
1261,Оленька
1262,и
1263,Митя
1264,Коля
1265,и
1266,Нина
1267,Толя
1268,и
1269,Зина
1270,Все
1271,помогут
1272,да
1273,Да
1274,Наступает
1275,ночка
1276,Ты
1277,устала
1278,дочка
1279,Ножки
1280,бегали
1281,с
1282,утра
1283,Глазкам
1284,спать
1285,давно
1286,пора
1287,Ждёт
1288,тебя
1289,кроватка
1290,Спи
1291,дочурка
1292,сладко
1293,Курицакрасавица
1294,у
1295,меня
1296,жила
1297,Ах
1298,какая
1299,умная
1300,курица
1301,была
1302,Шила
1303,мне
1304,кафтаны
1305,шила
1306,сапоги
1307,Сладкие
1308,румяные
1309,пекла
1310,мне
1311,пироги
1312,А
1313,когда
1314,управиться
1315,сядет
1316,у
1317,ворот
1318,Сказочку
1319,расскажет
1320,песенку
1321,споет
